City,Area,zip
Manila,Binondo,1006
Manila,Intramuros,1002
Manila,Malate,1004
Manila,Manila CPO - Ermita,1000
Manila,Paco,1007
Manila,Pandacan,1011
Manila,Port Area (South),1018
Manila,Quiapo,1001
Manila,Sampaloc East,1008
Manila,Sampaloc West ,1015
Manila,San Andres Bukid,1017
Manila,San Miguel,1005
Manila,San Nicolas ,1010
Manila,Sta. Ana,1009
Manila,Sta Cruz North,1014
Manila,Sta Cruz South,1003
Manila,Sta Mesa,1016
Manila,Tondo North,1013
Manila,Tondo South,1012
Caloocan North,Amparo Subdivision,1425
Caloocan North,Bagong Silang,1428
Caloocan North,Bagumbong / Pag-asa,1421
Caloocan North,Bankers Village,1426
Caloocan North,Capitol Parkland Subdivision,1424
Caloocan North,Kaybiga/Deparo,1420
Caloocan North,Lilles Ville Subdivision,1423
Caloocan North,Novaliches North (Camarin North),1422
Caloocan North,Tala Leprosarium,1427
Caloocan North,Victory Heights,1427
Caloocan South,1st Ave. to 7th Ave. - West,1405
Caloocan South,Baesa,1401
Caloocan South,Fish Market,1411
Caloocan South,Grace Park East,1403
Caloocan South,Grace Park West,1406
Caloocan South,Isla de Cocomo,1412
Caloocan South,Caloocan City CPO,1400
Caloocan South,Kapitbahayan East,1413
Caloocan South,Kaunlaran Village,1409
Caloocan South,Maypajo,1410
Caloocan South,San Jose,1404
Caloocan South,Sangandaan,1408
Caloocan South,Sta. Quiteria,1402
Caloocan South,University Hills,1407
Las Pinas,Almanza,1750
Las Pinas,Angela Village,1749
Las Pinas,Cut-cut,1743
Las Pinas,Gatchalian Subdivision,1745
Las Pinas,Las Piñas CPO,1740
Las Pinas,Manila Doctors Village,1748
Las Pinas,Manuyo,1744
Las Pinas,Pulang Lupa,1742
Las Pinas,Remarville Subdivision,1741
Las Pinas,Soldiers Hills Subdivision,1752
Las Pinas,T. S. Cruz Subdivision,1751
Las Pinas,"Talon, Moonwalk",1747
Las Pinas,Verdant Acres Subdivision,1746
Las Pinas,Zapote,1742
Makati,Ayala-Paseo De Roxas,1226
Makati,Bangkal,1233
Makati,Bel-air,1209
Makati,Cembo,1214
Makati,Comembo,1217
Makati,Dasmarinas Village North,1221
Makati,Dasmarinas Village South,1222
Makati,Forbes Park North,1219
Makati,Forbes Park South,1220
Makati,Fort Bonifacio Naval Stn.,1202
Makati,Greenbelt,1228
Makati,Guadalupe Nuevo (Inc. Visayan),1212
Makati,Guadalupe Viejo (Inc. Palm Vil),1211
Makati,Kasilawan,1206
Makati,La Paz-Singkamas-Tejeros,1204
Makati,Legaspi Village,1229
Makati,Magallanes Village,1232
Makati,Commercial Center,1224
Makati,"Makati CPO (Inc, Buendia Up To",1200
Makati,Olympia And Carmona,1207
Makati,Palanan,1235
Makati,"Pasong Tamo 2000 Up, Ecology V",1231
Makati,Pembo,1218
Makati,Pinagkaisahan-pitogo,1213
Makati,Pio Del Pilar,1230
Makati,Poblacion,1210
Makati,Rembo (East) & Malapad Na Bato,1216
Makati,Rembo(west),1215
Makati,Salcedo Village,1227
Makati,San Antonio Village (Inc. Malu),1203
Makati,San Isidro,1234
Makati,San Lorenzo Village,1223
Makati,Sta. Cruz,1205
Makati,Urdaneta Village,1225
Makati,"Valenzuela (Inc. Santiago, San Miguel & Rizal Vill.)",1208
Malabon,Acacia,1474
Malabon,Araneta Subdivision,1476
Malabon,Dampalit,1480
Malabon,Flores,1471
Malabon,Kaunlaran Village,1409
Malabon,Longos,1472
Malabon,Malabon,1470
Malabon,Maysilo,1477
Malabon,Muzon,1479
Malabon,Potrero,1475
Malabon,Santolan,1478
Malabon,Tonsuya,1473
Mandaluyong,East Edsa,1554
Mandaluyong,Greenhills South,1556
Mandaluyong,Mandaluyong CPO,1550
Mandaluyong,Phil. Natl. Mental Hospital,1553
Mandaluyong,Shaw Boulevard,1552
Mandaluyong,Vergara,1551
Mandaluyong,Wack Wack Golf,1555
Marikina,Barangka,1803
Marikina,Concepcion 1,1807
Marikina,Concepcion 2,1811
Marikina,Fortune    ,1812
Marikina,Industrial Valley,1802
Marikina,J. De La Peña,1804
Marikina,Malanday,1805
Marikina,Marikina CPO - Sta. Elena - Sto. Niño,1800
Marikina,Marikina Heights,1810
Marikina,Nangka,1808
Marikina,Tumana,1806
Marikina,Parang,1809
Marikina,San Roque - Calumpang,1801
Marikina,Tañong,1803
Muntinlupa,Ayala Alabang P.O. Boxes,1799
Muntinlupa,Ayala Alabang Subdivision,1780
Muntinlupa,Bayanan/Putatan,1772
Muntinlupa,Bule/Cupang,1771
Muntinlupa,Filinvest Corp. City,1781
Muntinlupa,Muntinlupa CPO    ,1770
Muntinlupa,Pearl Heights,1775
Muntinlupa,Pleasant Village,1777
Muntinlupa,Poblacion,1776
Muntinlupa,Susana Heights,1774
Muntinlupa,Tunasan,1773
Navotas,Fish Market,1411
Navotas,Isla De Cocomo,1412
Navotas,Kapitbahayan East,1413
Navotas,Kaunlaran Village,1409
Navotas,Navotas     ,1485
Navotas,Tangos ,1489
Navotas,Tanza,1490
Paranaque,Aeropark Subdivision,1714
Paranaque,Baclaran,1702
Paranaque,Better Living Subdivision,1711
Paranaque,Bf Homes 1,1720
Paranaque,Bf Homes 2,1718
Paranaque,Executive Heights Subd.,1710
Paranaque,Ireneville Ii,1714
Paranaque,Ireneville Subdivision I & Ii,1719
Paranaque,Manila Memorial Park,1717
Paranaque,Marina Subd. (Reclamation),1703
Paranaque,Maywood I,1719
Paranaque,Maywood Village Ii,1716
Paranaque,Merville Park,1709
Paranaque,Miramar Subdivision,1712
Paranaque,Moonwalk,1709
Paranaque,Multinational Village,1708
Paranaque,Ninoy Aquino Int’l. Airport,1705
Paranaque,Parañaque Cpo,1700
Paranaque,Pulo,1706
Paranaque,San Antonio Valley 11 & 12,1707
Paranaque,San Antonio Valley I,1715
Paranaque,South Admiral Village,1709
Paranaque,Sto. Nino,1704
Paranaque,Tambo,1701
Paranaque,United Subd.,1713
Pasay,Domestic Airport Po,1301
Pasay,Manila Bay (Reclamation),1308
Pasay,Pasay City CPO Malibay,1300
Pasay,PICC (Reclamation Area),1307
Pasay,San Isidro,1306
Pasay,San Jose,1305
Pasay,San Rafael,1302
Pasay,San Roque,1303
Pasay,Santa Clara,1304
Pasay,Villamor Airbase,1309
Pasig,Caniogan,1606
Pasig,Green Park,1612
Pasig,Kapitolyo,1603
Pasig,Manggahan,1611
Pasig,Maybunga ,1607
Pasig,Ortigas PO,1605
Pasig,Pasig CPO,1600
Pasig,Pinagbuhatan,1602
Pasig,Rosario,1609
Pasig,San Joaquin,1601
Pasig,Santolan,1610
Pasig,Sta. Lucia,1608
Pasig,Ugong,1604
Pateros,Aguho,1620
Pateros,Sta. Ana,1621
Quezon,Alicia,1105
Quezon,Amihan,1102
Quezon,Apolonio Samson,1106
Quezon,Baesa,1106
Quezon,Bagbag,1116
Quezon,Bagong Bayan,1110
Quezon,Bagong Buhay,1109
Quezon,Bagong Lipunan,1111
Quezon,Bagong Pag-asa,1105
Quezon,Bagong Silangan,1119
Quezon,Bahay Toro,1106
Quezon,Balingasa,1115
Quezon,Balumbato,1106
Quezon,Batasan Hills,1126
Quezon,Bayanihan,1109
Quezon,BF Homes,1120
Quezon,Blue Ridge,1109
Quezon,Botocan,1101
Quezon,Bungad,1105
Quezon,Camp Aguinaldo,1110
Quezon,Capitol Hills/Park,1126
Quezon,Capri,1117
Quezon,Central,1100
Quezon,Claro,1102
Quezon,Commonwealth,1121
Quezon,Crame,1111
Quezon,Cubao,1109
Quezon,Culiat,1128
Quezon,Damar,1115
Quezon,Damayan,1104
Quezon,Damayan Lagi,1112
Quezon,Damong Maliit,1123
Quezon,Del Monte,1105
Quezon,Diliman,1101
Quezon,Dioquino Zobel,1109
Quezon,Doña Imelda,1113
Quezon,Don Manuel,1113
Quezon,Doña Aurora,1113
Quezon,Doña Faustina Subd,1125
Quezon,Doña Josefa,1113
Quezon,Duyan-duyan,1102
Quezon,E. Rodriguez ,1102
Quezon,Escopa,1109
Quezon,Fairview,1118
Quezon,Fairview North,1121
Quezon,Fairview South,1122
Quezon,Gantol,1113
Quezon,Gintong Silahis,1114
Quezon,Gulod,1117
Quezon,Holy Spirit,1127
Quezon,Horseshoe,1112
Quezon,Immaculate Concepcion,1111
Quezon,Kaligayahan,1124
Quezon,Kalusugan,1112
Quezon,Kamias,1102
Quezon,Kamuning,1103
Quezon,Katipunan,1105
Quezon,Kaunlaran,1111
Quezon,Kristong Hari,1112
Quezon,Krus Na Ligas,1101
Quezon,La Loma,1114
Quezon,Langing Handa,1103
Quezon,Libis,1110
Quezon,Lourdes,1114
Quezon,Loyola Heights,1108
Quezon,Maharlika,1114
Quezon,Malaya,1101
Quezon,Mangga,1109
Quezon,Manresa,1115
Quezon,Mariana,1112
Quezon,Mariblo,1104
Quezon,Marilag,1109
Quezon,Masagana,1109
Quezon,Masambong,1115
Quezon,Matalahib,1114
Quezon,Matandang Balara,1119
Quezon,Milagrosa,1109
Quezon,Nagkaisang Nayon,1125
Quezon,Nayon Kaunlaran,1104
Quezon,New Era,1107
Quezon,Novaliches Proper,1121
Quezon,Obrero,1103
Quezon,Old Capitol Site,1101
Quezon,Paang Bundok,1114
Quezon,Pag-ibig Sa Nayon,1115
Quezon,Paligsahan,1103
Quezon,Paltok,1105
Quezon,Pansol,1108
Quezon,Paraiso,1104
Quezon,Pasong Putik,1118
Quezon,Pasong Tamo,1107
Quezon,Payatas,1119
Quezon,Phil-am,1104
Quezon,Pinagkaisahan,1111
Quezon,Piñahan,1100
Quezon,Project 4,1109
Quezon,Project 6,1100
Quezon,Project 7,1105
Quezon,Project 8,1106
Quezon,Quezon City Cpo,1100
Quezon,Quirino Dist. (Proj. 2 & 3),1102
Quezon,R. Magsaysay,1105
Quezon,Roxas District,1103
Quezon,Sacred Heart,1103
Quezon,Salumbato,1106
Quezon,Salvacion,1114
Quezon,San Agustin,1117
Quezon,San Antonio,1105
Quezon,San Bartolome,1116
Quezon,San Isidro,1113
Quezon,San Isidro Labrador,1114
Quezon,San Jose,1115
Quezon,San Roque,1109
Quezon,San Vicente,1101
Quezon,Sangandaan,1116
Quezon,Santa Cruz,1104
Quezon,Santa Lucia,1117
Quezon,Santa Monica,1117
Quezon,Santa Teresita,1114
Quezon,Sauyo,1116
Quezon,Sienna,1114
Quezon,Sikatuna Village,1101
Quezon,Silangan,1102
Quezon,Socorro,1109
Quezon,South Triangle,1103
Quezon,St. Ignatius,1110
Quezon,St. Martin De Porres,1111
Quezon,St. Peter,1114
Quezon,Sto. Cristo,1105
Quezon,Sto. Nino,1113
Quezon,Tagumpay,1109
Quezon,Talampas,1110
Quezon,Talayan,1104
Quezon,Talipapa,1116
Quezon,Tandang Sora,1116
Quezon,Tatalon,1113
Quezon,Teachers Village,1101
Quezon,Ugong Norte,1110
Quezon,Unang Sigaw,1106
Quezon,Univ. of the Phils. PO,1101
Quezon,UP Village,1101
Quezon,Valencia,1112
Quezon,Vasra,1128
Quezon,Veterans Village,1105
Quezon,Villa Maria Clara,1109
San Juan,Eisenhower-Crame,1504
San Juan,Greenhills North,1503
San Juan,Greenhills PO,1502
San Juan,San Juan CPO,1500
Taguig,Bay Breeze Exec. Village,1636
Taguig,Bicutan,1631
Taguig,Bicutan Lower,1632
Taguig,Bicutan Upper,1633
Taguig,Bicutan Western,1630
Taguig,Bonifacio Global City,1635
Taguig,Ligid,1638
Taguig,Nichols - Mckinley,1634
Taguig,Tuktukan,1637
Taguig,Ususan,1639
Valenzuela,Arkong Bato-Rincon-Pasolo-Malanday-Mabolo-Polo,1444
Valenzuela,Balangkas-Caloong,1445
Valenzuela,Dalandan - West Canumay,1443
Valenzuela,East Canumay - Lawang Bato Pun,1447
Valenzuela,Fortune Vil. - Paso De Blas - Gen. T. De Leon,1442
Valenzuela,Karuhatan,1441
Valenzuela,Lingunan,1446
Valenzuela,Mapulang Lupa,1448
Valenzuela,Valenzuela CPO - Malinta,1440
Valenzuela,Valenzuela P.O. Boxes,1469
